text,label
"The government announced new economic policies today to boost growth and employment.",1
"Scientists discovered a new species of frog in the Amazon rainforest last month.",1
"Local hospital receives federal funding to expand emergency care services.",1
"Stock market reaches record high amid strong corporate earnings reports.",1
"International leaders met in Geneva to discuss climate change action plans.",1
"New technology breakthrough improves solar panel efficiency by twenty percent.",1
"City opens new public transportation route to reduce traffic congestion.",1
"Researchers find evidence that regular exercise improves mental health outcomes.",1
"School district approves budget for hiring new teachers and classroom supplies.",1
"National team wins championship in final match of the tournament season.",1
"Aliens landed in New York last night and secretly took control of the government.",0
"Scientists prove that drinking soda makes you immune to all known diseases.",0
"Secret society of lizard people controls every world leader from underground base.",0
"Time traveler shares winning lottery numbers from the future with online followers.",0
"New study confirms the moon is made entirely of cheese according to experts.",0
"Celebrity revealed to be a robot after pretending to be human for twenty years.",0
"Magic pill discovered that lets people live forever without aging or sickness.",0
"Ancient prophecy predicts the end of the world will happen next Tuesday.",0
"Underground city found beneath every major capital city says conspiracy report.",0
"World economy controlled by hidden base in Antarctica according to leaked documents.",0
